id;point_id;site;date;lon;lat;TD_cm;;;;
176;RP002-2;2;2018-07-31;21.57515874;69.02045008;30;;;;
177;RP002-3;2;2018-07-31;21.57543291;69.02043868;30;;;;
178;RP048-7;2;2018-07-31;21.5766304;69.02051942;35;;;;
179;RP048-8;2;2018-07-31;21.57654267;69.02043581;40;;;;
180;RP048-9;2;2018-07-31;21.5770129;69.0203832;36;;;;
181;RP048-10;2;2018-07-31;21.577026;69.02032122;34;;;;
182;RP047-1;2;2018-07-31;21.57787217;69.02052361;39;;;;
183;RP047-2;2;2018-07-31;21.57794651;69.02049525;38;;;;
184;RP047-3;2;2018-07-31;21.57803426;69.02051714;38;;;;
185;RP057-6;2;2018-07-31;21.57895163;69.01950574;36;;;;
186;RP057-7;2;2018-07-31;21.57854073;69.01971615;48;;;;
187;RP057-8;2;2018-07-31;21.57981139;69.01966491;45;;;;
188;RP057-9;2;2018-07-31;21.58036621;69.01964367;40;;;;
189;RP062-20;2;2018-07-31;21.581803;69.019549;43;;;;
190;RP062-21;2;2018-07-31;21.581517;69.019676;39;;;;
191;RP062-22;2;2018-07-31;21.581388;69.019783;40;;;;
192;RP062-23;2;2018-07-31;21.581178;69.019662;46;;;;
193;RP062-24;2;2018-07-31;21.581109;69.019556;41;;;;
194;RP062-25;2;2018-07-31;21.581524;69.019544;40;;;;
195;RP013-1;2;2018-07-31;21.583141;69.019634;34;;;;
196;RP013-2;2;2018-07-31;21.582866;69.019682;38;;;;
197;RP013-3;2;2018-07-31;21.582626;69.019648;43;;;;
198;RP013-4;2;2018-07-31;21.582313;69.019684;38;;;;
199;RP013-5;2;2018-07-31;21.58222;69.019652;46;;;;
200;RP013-6;2;2018-07-31;21.582058;69.019753;40;;;;
201;RP013-7;2;2018-07-31;21.581859;69.019801;37;;;;
202;RP013-8;2;2018-07-31;21.582148;69.019867;37;;;;
203;RP054-1;2;2018-07-31;21.58099;69.019729;41;;;;
204;RP054-2;2;2018-07-31;21.580938;69.019843;40;;;;
205;RP054-3;2;2018-07-31;21.580722;69.019981;40;;;;
206;RP054-4;2;2018-07-31;21.580447;69.020022;38;;;;
207;RP054-5;2;2018-07-31;21.580484;69.019921;40;;;;
208;RP052-1;2;2018-07-31;21.581446;69.019928;40;;;;
209;RP052-2;2;2018-07-31;21.581328;69.020055;37;;;;
210;RP052-4;2;2018-07-31;21.581587;69.020053;41;;;;
211;RP053-1;2;2018-07-31;21.582244;69.020044;33;;;;
